iter	RMSE
0	14.40184076
1	13.99660912
2	13.59080842
3	13.213147
4	12.85651038
5	12.4905901
6	12.13810347
7	11.80291262
8	11.47462815
9	11.17783856
10	10.92725879
11	10.61427007
12	10.33406098
13	10.07492235
14	9.835959596
15	9.590514312
16	9.332451355
17	9.089695299
18	8.890246993
19	8.664013006
20	8.473181066
21	8.276624104
22	8.097234389
23	7.916755849
24	7.747787072
25	7.566895089
26	7.395682085
27	7.225607313
28	7.095970126
29	6.952971475
30	6.791136644
31	6.662098655
32	6.527193385
33	6.398209268
34	6.280783477
35	6.174934796
36	6.048316351
37	5.931497806
38	5.827328721
39	5.725720658
40	5.616688695
41	5.521198216
42	5.422539318
43	5.341606918
44	5.25384228
45	5.168323981
46	5.087409333
47	5.01184428
48	4.942652379
49	4.873189646
50	4.805555503
51	4.737492535
52	4.679377533
53	4.613851654
54	4.559711796
55	4.509547625
56	4.460842023
57	4.408992321
58	4.360924681
59	4.313120309
60	4.274469756
61	4.232908608
62	4.191851815
63	4.14889993
64	4.111786483
65	4.078301151
66	4.04635825
67	4.018215287
68	3.99098529
69	3.963362932
70	3.93405106
71	3.902993316
72	3.876172607
73	3.851612435
74	3.826967692
75	3.801760503
76	3.781120024
77	3.756957163
78	3.733768661
79	3.712920414
80	3.694121537
81	3.676276891
82	3.65628036
83	3.638461998
84	3.62174558
85	3.608690042
86	3.593457363
87	3.581185752
88	3.565902329
89	3.550885828
90	3.537716446
91	3.526042182
92	3.516835593
93	3.505202946
94	3.491120189
95	3.480387173
96	3.468842903
97	3.45826465
98	3.447489962
99	3.437574907
100	3.427146085
101	3.416865608
102	3.408340555
103	3.400000442
104	3.39116805
105	3.385931752
106	3.378932488
107	3.371265967
108	3.364145277
109	3.355052423
110	3.346598735
111	3.339596793
112	3.333309968
113	3.324345222
114	3.317703183
115	3.310261244
116	3.30388615
117	3.298069204
118	3.292378678
119	3.287091385
120	3.279490554
121	3.273120334
122	3.268821416
123	3.264515527
124	3.260808558
125	3.25617867
126	3.252964321
127	3.245146057
128	3.240991276
129	3.236686007
130	3.231050144
131	3.226376804
132	3.223349355
133	3.218339374
134	3.212642693
135	3.209316754
136	3.205022584
137	3.202197236
138	3.198533998
139	3.197078728
140	3.193837653
141	3.188550533
142	3.183103089
143	3.181596223
144	3.177429958
145	3.174537315
146	3.168652257
147	3.162062295
148	3.159068187
149	3.15493828
150	3.151249605
151	3.146425867
152	3.144030946
153	3.139841686
154	3.134850659
155	3.130075865
156	3.125297536
157	3.121125705
158	3.118321935
159	3.113938095
160	3.110096266
161	3.107386069
162	3.106383006
163	3.103939988
164	3.098339156
165	3.09347138
166	3.089867851
167	3.088582187
168	3.086442736
169	3.084133586
170	3.081720339
171	3.078172262
172	3.074867357
173	3.072186961
174	3.067749252
175	3.064814658
176	3.062185889
177	3.060866587
178	3.059048653
179	3.055530127
180	3.052518018
181	3.050568008
182	3.047157973
183	3.045133946
184	3.040791335
185	3.036424329
186	3.035605745
187	3.03262446
188	3.028201488
189	3.027542949
190	3.023636139
191	3.019733559
192	3.016250967
193	3.013288001
194	3.010684609
195	3.006021816
196	3.002795242
197	2.999698734
198	2.996917918
199	2.994137742
200	2.991630931
201	2.98827639
202	2.985118996
203	2.982588735
204	2.98035705
205	2.978483771
206	2.977571201
207	2.976435097
208	2.974786111
209	2.973232862
210	2.96996803
211	2.969395412
212	2.968797276
213	2.966289976
214	2.962688432
215	2.959165425
216	2.957015611
217	2.952991015
218	2.951366925
219	2.948617222
220	2.947356288
221	2.945920572
222	2.9428044
223	2.941204444
224	2.938395875
225	2.935108997
226	2.933112337
227	2.931013488
228	2.927868908
229	2.925025369
230	2.923449138
231	2.922973883
232	2.919746687
233	2.918546877
234	2.914619959
235	2.910232714
