iter	Passed	Remaining
0	0	985
1	1	750
2	2	680
3	2	655
4	3	641
5	3	619
6	4	604
7	4	592
8	5	582
9	5	578
10	6	594
11	7	588
12	7	584
13	8	580
14	8	575
15	9	572
16	9	569
17	10	565
18	10	562
19	11	560
20	12	562
21	12	564
22	13	562
23	13	561
24	14	558
25	14	558
26	15	559
27	16	558
28	16	555
29	17	550
30	17	549
31	18	549
32	18	555
33	19	554
34	20	552
35	20	549
36	21	547
37	21	545
38	22	543
39	22	541
40	23	540
41	23	538
42	24	537
43	24	538
44	25	538
45	25	537
46	26	535
47	26	533
48	27	533
49	27	531
50	28	530
51	29	529
52	29	527
53	30	526
54	30	527
55	31	527
56	31	525
57	32	524
58	32	523
59	33	522
60	33	521
61	34	519
62	34	518
63	35	517
64	35	515
65	36	514
66	36	512
67	37	512
68	37	511
69	38	510
70	38	509
71	39	508
72	39	507
73	40	506
74	40	505
75	41	504
76	42	504
77	42	503
78	43	503
79	43	503
80	44	502
81	44	501
82	45	500
83	45	499
84	46	498
85	46	496
86	47	496
87	47	495
88	48	495
89	48	495
90	49	495
91	50	495
92	50	493
93	51	492
94	51	492
95	52	492
96	52	491
97	53	491
98	53	490
99	54	489
100	54	489
101	55	489
102	56	489
103	56	488
104	57	487
105	57	485
106	58	484
107	58	483
108	59	482
109	59	481
110	60	480
111	60	480
112	61	480
113	61	480
114	62	482
115	63	482
116	63	481
117	64	481
118	64	480
119	65	479
120	65	479
121	66	478
122	66	477
123	67	476
124	68	477
125	68	477
126	69	476
127	69	475
128	70	475
129	70	474
130	71	473
131	71	472
132	72	471
133	72	470
134	73	469
135	73	469
136	74	468
137	75	468
138	75	468
139	76	466
140	76	467
141	77	467
142	77	466
143	78	464
144	78	464
145	79	463
146	79	462
147	80	462
148	81	462
149	81	462
150	82	461
151	82	461
152	83	460
153	83	460
154	84	459
155	84	459
156	85	458
157	85	457
158	86	457
159	87	457
160	87	457
161	88	456
162	88	455
163	89	455
164	89	454
165	90	453
166	90	453
167	91	452
168	91	452
169	92	452
170	93	452
171	94	452
172	94	452
173	95	451
174	95	451
175	96	450
176	96	450
177	97	450
178	97	449
179	98	449
180	99	449
181	99	449
182	100	448
183	101	447
184	101	447
185	102	446
186	102	446
187	103	445
188	103	445
189	104	444
190	104	444
191	105	444
192	106	445
193	107	445
194	107	445
195	108	445
196	109	444
197	109	443
198	110	443
199	110	442
200	111	442
201	111	441
202	112	441
203	112	440
204	113	439
205	113	438
206	114	438
207	114	437
208	115	436
209	115	436
210	116	435
211	117	434
212	117	434
213	118	433
214	118	433
215	119	432
216	119	431
217	120	431
218	120	430
219	121	429
220	121	429
221	122	428
222	122	428
223	123	427
224	124	427
225	124	426
226	125	427
227	126	426
228	126	426
229	127	426
230	127	426
231	128	425
232	129	425
233	130	425
234	130	425
235	131	424
236	131	424
237	132	423
238	132	423
239	133	422
240	133	421
241	134	420
242	134	420
243	135	419
244	135	418
245	136	418
246	137	417
247	137	417
248	138	416
249	138	415
250	139	414
251	139	414
252	140	413
253	140	412
254	140	411
255	141	411
256	142	411
257	142	410
258	143	409
259	143	409
260	144	408
261	144	408
262	145	407
263	145	406
264	146	406
265	146	405
266	147	404
267	148	404
268	148	403
269	149	403
270	149	402
271	150	401
272	150	401
273	151	400
274	151	399
275	152	399
276	152	398
277	153	397
